nom_sv,site_vote_id,circonscription_id
CS  ROIS BAUDOUIN  1ER,1002077,100005
CS BON ESPOIR,1002078,100005
CS KANTU,1002079,100005
CS LA CONFIANCE,1002080,100005
CS LES GAZELLES/MBOLOKO,1002081,100005
CS MOLONGI (LE CHAMPION),1002082,100005
CS MONSEIGNEUR MOKE,1002083,100005
E.P.A 1 ET 3/MATONGE,1002084,100005
ECOLE DES SOPHISTES,1002085,100005
ECOLE KAYALA1,1002086,100005
ECOLE MASAMBA,1002087,100005
ECOLE PRIMAIRE KIZIAMINA,1002088,100005
EP 1 ET 2 YOLO NORD,1002089,100005
EP 3 ET 4 YOLO NORD,1002090,100005
EP 7 ET EP 8 YOLO NORD,1002091,100005
EP I ET II KAUKA,1002092,100005
EP I ET II YOLO SUD,1002093,100005
EP III ET IV DE YOLO SUD,1002094,100005
EP VI ET EP VII YOLO-SUD,1002095,100005
EP2. ET E.P4. MATONGE,1002096,100005
EPA 1 ET 2 MATONGE,1002097,100005
INST. PRESBYTERIEN DE YOLO-SUD,1002098,100005
INSTITUT BAKANJA,1002099,100005
INSTITUT DE YOLO-SUD,1002100,100005
INSTITUT KIMPWAZA,1002101,100005
INSTITUT MOANDA,1002102,100005
INSTITUT POUR SOURD-MUETS  DE KIN,1002103,100005
INSTITUT SUP. DE STATISTIQUES DE KINSHASA,1002104,100005
LYCEE BOYOKANI,1002105,100005
LYCEE MATONGE ET LYCEE TECHNIQUE MATONGE,1002106,100005
LYCEE TECHNIQUE DE KALAMU ET INSTITUT TECHNIQUE DES ARTS ET METIERS,1002107,100005
LYCEE TECHNIQUE ET PROFESSIONNEL DE MATONGE ET INSTITUT SCIENTIFIQUE ET TECHNIQUE DE KALAMU,1002108,100005
UNIV. SIMON KIMBANGU,1002109,100005
YMCA - YWCA,1002110,100005
CENTRE DE PROMOTION SOCIALE DE KASA-VUBU,1002111,100006
COLLEGE BELGO-CONGOLAIS,1002112,100006
COLLEGE CARDINAL MALULA,1002113,100006
COLLEGE CHRIST-ROI,1002114,100006
COLLEGE EDEN,1002115,100006
COLLEGE ERUDISSIMO,1002116,100006
COLLEGE LES ERUDITS,1002117,100006
COLLEGE SAINT GABRIEL,1002118,100006
COMPLEXE SCOLAIRE ABBE-PIERRE,1002119,100006
COMPLEXE SCOLAIRE ESPERANCE,1002120,100006
COMPLEXE SCOLAIRE GALILEE,1002121,100006
COMPLEXE SCOLAIRE KANDA,1002122,100006
COMPLEXE SCOLAIRE LA FLEURETTE,1002123,100006
COMPLEXE SCOLAIRE LA RECONNAISSANCE,1002124,100006
COMPLEXE SCOLAIRE LA ROSETTE,1002125,100006
COMPLEXE SCOLAIRE MAMAN DELE,1002126,100006
EP1 ET EP2,1002127,100006
COMPLEXE SCOLAIRE PROVIDENCE DIVINE,1002128,100006
COMPLEXE SCOLAIRE ROVATU-ROVA,1002129,100006
COMPLEXE SCOLAIRE TABITHA,1002130,100006
CS LEMBO,1002131,100006
ECOLE MARIE REINE DES ANGES,1002132,100006
EP 1 ET 2 LISALA,1002133,100006
EP 1 ET 2 ONL,1002134,100006
EP 4 ET 7 LISALA,1002135,100006
EP 5 LISALA ET EP A MOTEMA MPIKO,1002136,100006
EP A KISOLOKELE ET INSTITUT CHARLES KISOLOKELE,1002137,100006
EP II ASSOSSA,1002138,100006
GROUPE SCOLAIRE LES VIGNERONS,1002139,100006
INST. DE LODJA,1002140,100006
"INSTITUT 2 KIMBUTA, EPA 1 KIMBUTA, ET EPA 2 KIMBUTA",1002141,100006
INSTITUT LISALA,1002142,100006
"INSTITUT SAINT LOUIS, EP1 SAINT LOUIS  ET EP2 SAINT LOUIS",1002143,100006
INSTITUT SCIENTIFIQUE DE KASA-VUBU,1002144,100006
INSTITUT TECHNIQUE DIYALANDA,1002145,100006
INSTITUT TECHNIQUE LUMBAMA,1002146,100006
ITC VICTOIRE ET ISP VICTOIRE,1002147,100006
ECOLE MATERNELLE 1 & 2 LISALA,1002148,100006
LYCEE II ET III KASA-VUBU,1002149,100006
LYCEE MADAME DE SEVIGNE,1002150,100006
LYCEE TECHN. ET PROFESSIONNELLE,1002151,100006
LYCEE TECHNIQUE LES MESSAGERES,1002152,100006
C. TONDISA EBALE,1011001,100007
C.S BEL ESPOIR,1011002,100007
C.S EUNICE MPUTU,1011003,100007
C.S MAKONDA,1011004,100007
C.S MAPASA 1,1011005,100007
C.S. BEL ESPOIR,1011006,100007
CENTRE DE FORMATION PROFESSIONNELLE DINAYAME,1011007,100007
COL DE L AMITIE,1011008,100007
COL PATY MUBENGA,1011009,100007
COL SOURCE DE VIE,1011010,100007
COLLEGE BETHANIE 1,1011011,100007
COLLEGE DE MIKONDO,1011012,100007
COLLEGE KINGUDI,1011013,100007
COLLEGE KWAYUNG,1011014,100007
COLLEGE LE SENEVE,1011015,100007
COLLEGE LES VAINQUEURS,1011016,100007
EP MBANDIKO,1011017,100007
COLLEGE METEO,1011018,100007
COLLEGE NZO KAYALA,1011019,100007
COLLEGE PATMOS DIBAKANGA,1011020,100007
COLLEGE PERE CHARLES,1011021,100007
CENTRE AYMER,1011022,100007
COLLEGE PERE HENOC,1011023,100007
COLLEGE PERE MAMS,1011024,100007
COLLEGE ROYAL,1011025,100007
COLLEGE SAINT ALPHONSE,1011026,100007
COLLEGE SAINT JOSEPH/NGWANZA,1011027,100007
COLLEGE SAINT OSCAR,1011028,100007
COLLEGE SAINTE CROIX,1011029,100007
COLLEGE SAINTE MARIE,1011030,100007
COLLEGE SAMUEL MASAMBUKIDI,1011031,100007
LA CRUCHE,1011032,100007
COLLEGE CHRIST ROI,1011033,100007
COLLEGE ST FREDERIC,1011034,100007
"COLLEGE ST JOSEPH,MUKASA",1011035,100007
COLLEGE ST PLACIDE,1011036,100007
COLLEGE STE MARIE AUXILIATRICE,1011037,100007
COLLEGE SAINTE EXUPERY,1011038,100007
COMPLEXE SCOLAIRE DIBWA DIA DITUMBA,1011039,100007
COMPLEXE SCOLAIRE KIMBONZA,1011040,100007
CS AKU,1011041,100007
CS BOLINGO,1011042,100007
CS DE LA TSHANGU,1011043,100007
CS DIAKABANA,1011044,100007
CS DIEU MERCI,1011045,100007
CS EDM,1011046,100007
CS KAYILA,1011047,100007
CS KIMBANGUISTE/ CECOMAF,1011048,100007
CS LA TULIPE,1011049,100007
CS LALU,1011050,100007
G.S MAVUZI,1011051,100007
CS LES COMPAGNIONS DU CHRIST,1011052,100007
COLLEGE SAINT MARTIN,1011053,100007
COLLEGE LUVEVO,1011054,100007
COLLEGE BISHOP ANTHO KIMBELO,1011055,100007
CS LUMIERE,1011056,100007
CS LUWIZAMO,1011057,100007
CS MA VIE,1011058,100007
CS MAMA NDANDA,1011059,100007
CS MAMAN SOLA,1011060,100007
CS MANI LUBAMBA,1011061,100007
E.P MANSANGA,1011062,100007
CS MAVIOKELE,1011063,100007
CS MERE THERESETITOS,1011064,100007
CS MINU,1011065,100007
CS MONOKO,1011066,100007
CS MPATI,1011067,100007
CS MUNTUMOSI,1011068,100007
CS NGANDU,1011069,100007
CS NOUVELLE ALLIANCE,1011070,100007
CS NSANGA,1011071,100007
EP SAINT ELIE,1011072,100007
CS SACRE COEUR,1011073,100007
CS SAINT JEAN BAPTISTE,1011074,100007
CS SIMBA,1011075,100007
CS TANGU SOLEIL,1011076,100007
COLLEGE LES AFFRANCHIS,1011077,100007
CS TUSAKANA,1011078,100007
CS VICTORIA,1011079,100007
COMPLEX SCOLAIRE MWANDA,1011080,100007
CS. MAMASA,1011081,100007
CSC BALONGI,1011082,100007
E.P 5 KINGASANI,1011083,100007
E.P BUANGA,1011084,100007
E.P KITAMBALA,1011085,100007
E.P LA LOUANGE,1011086,100007
E.P MOLOKAI,1011087,100007
E.P MVUNDU,1011088,100007
E.P V ET VI KIMBASEKE,1011089,100007
E.P. LUBIKULU,1011090,100007
E.P. LUKELO,1011091,100007
E.P. MAKUMBU,1011092,100007
E.P. NGWANZA,1011093,100007
ECOLE BAKI,1011094,100007
ECOLE BIKAMUISI,1011095,100007
ECOLE FUTURE MAMVULULU,1011096,100007
ECOLE MATERNELLE PERE COUDRIN,1011097,100007
ECOLE NOTRE DAME DE GRACE ELONGA,1011098,100007
EP  C. B. F .C,1011099,100007
EP 1 KIKIMI,1011100,100007
EP 1 MAZONGO,1011101,100007
EP 1 ST MBAGA,1011102,100007
EP 2 KINGASANI,1011103,100007
EP 2 MFUMU NKETO,1011104,100007
EP 2 SAINT MBAGA,1011105,100007
EP 7 KIKIMI,1011106,100007
EP 8 KIKIMI,1011107,100007
EP 9 KIKIMI,1011108,100007
EP A 1 MOKALI,1011109,100007
LYCEE MARE MARIE AMPEM,1011110,100007
EP BISENGO  MWAMBE,1011111,100007
EP BONDEKO,1011112,100007
EP BONO,1011113,100007
EP BOYAMBI,1011114,100007
EP C.B.C.O,1011115,100007
EP FABIANO,1011116,100007
EP FIMPA,1011117,100007
EP I BIYELA,1011118,100007
EP II KIKIMI,1011119,100007
EP IV BIYELA,1011120,100007
EP IV KINGASANI,1011121,100007
EP IX KINGASANI,1011122,100007
EP KAPITA,1011123,100007
EP KIKIMI/CS MAYUMA,1011124,100007
EP KOLI ELOMBE,1011125,100007
CS. LES EXPERTS,1011126,100007
EP LUIZI,1011127,100007
EP MAMA WA BOSAWA,1011129,100007
EP MAYA,1011130,100007
COLLEGE SAINT ALBERT,1011131,100007
EP MGR MOSENGO,1011132,100007
EP MOLIAMBO,1011133,100007
EP MONDO,1011134,100007
EP MUSENGE,1011135,100007
EP MUTKONG,1011136,100007
EP NZOLA,1011137,100007
EP RAMAZANI,1011138,100007
EP SADISANA,1011139,100007
EP SIRA,1011140,100007
EP STE AGNES BONSOMI,1011141,100007
EP V KIKIMI,1011142,100007
EP VI KIKIMI,1011143,100007
EP VI KINGASANI,1011144,100007
EP. BAMBOMA,1011145,100007
EP12 KINGASANI,1011146,100007
EP. MAMADOU,1011147,100007
EP. NDONA,1011148,100007
EP.5 BIYELA,1011149,100007
EP.6 BIYELA,1011150,100007
EP1ET 2 KIMBANSEKE,1011151,100007
EP7 TSHUENGE,1011152,100007
EP8 KINGASANI,1011153,100007
EPP KIKIMI/CPK,1011154,100007
FONDATION ESENGO,1011155,100007
COLLEGE TECHNIQUE MONSEIGNEUR TATY,1011156,100007
C.S PATY MUBENGA,1011157,100007
GS BOTANGI,1011158,100007
GS MAKAKALA,1011159,100007
I.T.A.V SALONGO,1011160,100007
I.T.M APAMSCO,1011161,100007
I.T.M TSHANGU,1011162,100007
INST BUPIE,1011163,100007
INST MAYELE MASIKA,1011164,100007
INST SAINT LOUIS,1011165,100007
INST YULAMA,1011166,100007
INST. BISENGO MUAMBE,1011167,100007
INST. BOSEMBO,1011168,100007
INST. IKUMA,1011169,100007
INST. KIHETA,1011170,100007
INST. LINGOMO,1011171,100007
INST. MALAKO,1011172,100007
INST. MALAVU,1011173,100007
INST. MIKONDO II,1011174,100007
INST. STE MONIQUE,1011175,100007
INST. TECH. ET PROF SIMON KIMBANGU,1011176,100007
INST. YANDA MAYEMBA,1011177,100007
INST. ZOLA EMILE,1011178,100007
INST2. BILENGE,1011179,100007
INSTITUT BOMPESE,1011180,100007
INSTITUT ITUMAF,1011181,100007
INSTITUT KIKAMA,1011182,100007
INSTITUT LUTANDILA,1011183,100007
INSTITUT MAKONDA,1011184,100007
INSTITUT PRESBYTERIEN DE KINGASANI,1011185,100007
INSTITUT VILUKA,1011186,100007
ITC MOKALI,1011187,100007
ITM BON ACCUEIL,1011188,100007
EP MALAKO 2,1011189,100007
LYCEE MAMAN SIDONIE,1011190,100007
LYCEE MAMAN SIDONIE LUMUENIDIO 2,1011191,100007
LYCEE MWINDA,1011192,100007
TERRAIN BUREAU QUARTIER BIKUKU,1011194,100007
C.S. KASAKA,1001027,100008
COLLEGE BIMWALA,1001028,100008
COLLEGE PACIFIQUE,1001029,100008
COLLEGE SAINT PIERRE (I.T.E.P),1001030,100008
CS. TSHITEKU,1001031,100008
EP 3 ET 6 KINSHASA,1001032,100008
EP I I KINSHASA,1001033,100008
INSTITUT DU TRENTE JUIN,1001034,100008
"""""INSTITUT TECHNIQUE D""""""""ITAGA""""",1001035,100008
INSTITUT WANGATA E.P. I ET II,1001036,100008
LYCEE KABAMBARE,1001037,100008
C.S. DJULU,1001038,100009
C.S. L ELITE,1001039,100009
CENTRE DE FORMATION PROFESSIONNELLE BOYAKANI DE AIDE AUX ENFANTS DEFAVORISES,1001040,100009
CENTRE DE FORMATION PROFESSIONNELLE DE KINTAMBO,1001041,100009
COLLEGE FRERE ALINGBA,1001042,100009
COLLEGE ST GEORGES,1001043,100009
COMPLEXE MAMAN OLIVE,1001044,100009
EP 1&2BASOKO,1001045,100009
E.P. II KINTAMBO (LA FRATERNITE),1001046,100009
EPI ET EPII ST GEORGES,1001047,100009
INSTITUT SCIENTIFIQUE KIMVULA,1001048,100009
INSTITUT TECHNIQUE PROFESSIONNEL BATELA,1001049,100009
LYCEE BOLINGANI,1001050,100009
CENTRE ACTION SOCIALE,1010001,100010
CENTRE DE RATTRAPAGE,1010002,100010
CENTRE DE SANTE D ETAT REGIDESO,1010003,100010
COLLEGE MR JEAN,1010004,100010
COLLEGE SAINT MARC,1010005,100010
COLLEGE ALLEGRIA,1010006,100010
COLLEGE BON PASTEUR,1010007,100010
CRS SALISA BANA,1010008,100010
CS ALLIANCE,1010009,100010
CS BAZOLA,1010010,100010
CS EP WATA ET INSTITUT REVEREND MWANZA,1010011,100010
CS HAUT KISENSO,1010012,100010
CS LATOOR DIEM,1010013,100010
CS LE FIO,1010014,100010
CS MAMPIA,1010015,100010
CS MANDELA,1010016,100010
CS MBOTAMA,1010017,100010
CS MBUNGU,1010018,100010
ECOLE DES GENIES CONGOLAIS,1010019,100010
CS NOTRE DAME DU SACRE COEUR,1010020,100010
CS PAPA MKD,1010021,100010
COLLEGE ST THOMAS,1010022,100010
ECOLE PAPA NZAU,1010023,100010
ECOLE PRIMAIRE MOKILI,1010024,100010
ECOLE VINDA,1010025,100010
EP 1 ET 2 BIKANGA,1010026,100010
EP I KITOMESA,1010027,100010
EP II LEMBA GARE,1010028,100010
EP III LIVULU,1010029,100010
EP KIKINGA,1010030,100010
EP KIMANI,1010031,100010
EP MATOTA,1010032,100010
EP MBUKU,1010033,100010
EP NYEKA,1010034,100010
EP TOBONGISA,1010035,100010
EP V LIVULU,1010036,100010
EP. VI KISENSO,1010037,100010
EP/INSTITUT 10/2 KISENSO LA GRACE,1010038,100010
INST. NSAKALA,1010039,100010
INST. REV PAKU NIANGA,1010040,100010
INST. TECH. NLEMBAMI,1010041,100010
INSTITUT DIZOLELE,1010042,100010
INSTITUT DOKOLO NGOMA,1010043,100010
INSTITUT DU 30 JUIN,1010044,100010
INSTITUT MABWIDI,1010045,100010
INSTITUT MANGOMA,1010046,100010
INSTITUT MGR NTEDIKA,1010047,100010
INSTITUT MUNKONDA,1010048,100010
INSTITUT PRESBYTERIEN ELONGO,1010049,100010
INSTITUT REV. FUTI MABIALA,1010050,100010
INSTITUT REVEREND MATUNDUBOTA,1010051,100010
INSTITUT TWA,1010052,100010
INSTITUT V BIKANGA,1010053,100010
ISCOM KISENSO,1010054,100010
ITI KITOMESA,1010055,100010
INSTITUT ZONZA,1010056,100010
LYCEE JULIE BILLIART,1010057,100010
SAINTE FELICITE,1010058,100010
ALLIANCE FRANCO CONGOLAISE / LEMBA,1006001,100011
CENTRE DE FORMATION ELIMO SANTU,1006002,100011
COLLEGE EMERITE,1006003,100011
COLLEGE FRERE EMMANUEL STABLUM,1006004,100011
COLLEGE SAINT ESPRIT,1006005,100011
COLLEGE SAINT THEOPHILE,1006006,100011
COLLEGE SIMON KIMBANGU,1006007,100011
COLLEGE SOEUR ANNA FIORELLI,1006008,100011
COLLEGE TOLINGA,1006009,100011
COMPLEXE SCOLAIRE MARCELLO KADIEBUE,1006010,100011
COMPLEXE SCOLAIRE DANEL,1006011,100011
CS DIBASANA,1006012,100011
CS EVEIL II,1006013,100011
CS LA FONTAINE,1006014,100011
CS PASTEUR MULUDIKI,1006015,100011
CS SAINTE HELENE,1006016,100011
CS SIAMA,1006017,100011
C.S SAINTE MADELEINE,1006018,100011
CS TSHINKA,1006019,100011
"""""CS. J""""""""AIME LES PETITS""""",1006020,100011
CS. SAINTE FAMILLE,1006021,100011
ECOLE ELONGA,1006022,100011
ECOLE MASAMBA,1006023,100011
ECOLE PRIMAIRE KEMI,1006024,100011
EP 1 ET 5 LEMBA NORD,1006025,100011
EP 1 NGABA,1006026,100011
EP I ET II LEMBA SUD,1006027,100011
EP I ET II ST ESPRIT,1006028,100011
EP II ET III LEMBA NORD,1006029,100011
EP III LEMBA SUD,1006030,100011
EP KYRIELLE KANDOLO,1006031,100011
EP MONT AMBA 1,1006032,100011
EP VI LEMBA SUD,1006033,100011
EP. DON PETI - PETI,1006034,100011
EP. MONT AMBA 2,1006035,100011
POLICLINIQUE ALICE MULANGA,1006036,100011
EPA I ET II LEMBA,1006037,100011
EPA III ET IV LEMBA,1006038,100011
GROUPE SCOLAIRE DU MONT AMBA (GSMA),1006039,100011
GROUPE SCOLAIRE MALAIKA,1006040,100011
INST REV BANGI,1006041,100011
INSTITUT 4 LEMBA SUD,1006042,100011
INSTITUT DE GOMBELE,1006043,100011
INSTITUT DU MONT AMBA II,1006044,100011
INSTITUT MOKENGELI,1006045,100011
INSTITUT PEDAGOGIQUE DE LEMBA,1006046,100011
INSTITUT SAINT ERIC,1006047,100011
INSTITUT SAINTE BERNADETTE,1006048,100011
ITC LEMBA,1006049,100011
LES BATISSEURS DU CONGO,1006050,100011
LYCEE MPIKO,1006051,100011
UNIKIN / VILLAGE KINDUKU,1006053,100011
UNIVERSITE PANAFRICAINE DE GOUVERNANCE ET INOVATION,1006054,100011
COLLEGE PRESTIGE LAMFEL,1006055,100011
C S BOLINGI,1006056,100012
C S MONANO II,1006057,100012
C.S AFRICA,1006058,100012
C.S BON DEPART,1006059,100012
C.S BOULEVARD LUMUMBA,1006060,100012
C.S SAINT FELIX,1006061,100012
C.S. DIALUNGANA,1006062,100012
COLLEGE ARTHUR DU VERNAY,1006063,100012
COLLEGE NORBERT YEMBESI,1006064,100012
COLLEGE SAINT AMAND,1006065,100012
COLLEGE SAINT ANDRE,1006066,100012
COLLEGE SAINT ETIENNE,1006067,100012
COLLEGE SAINT FRANCOIS DE SALES,1006068,100012
COLLEGE SAINT MONFORT,1006069,100012
COLLEGE SAINT RAPHAEL,1006070,100012
CS  MPUMBU,1006071,100012
CS BALOMBO,1006072,100012
CS LA FONTAINE,1006073,100012
CS LA PROVIDENCE,1006074,100012
CS LE LYS DE LA VALEE,1006075,100012
CS LE POTIER,1006076,100012
CS LE SOCLE EDUCATIF,1006077,100012
CS LES ANGES,1006078,100012
CS LES LEADERS,1006079,100012
CS LES PETITS DISCIPLES,1006080,100012
CS MBENGAMA,1006081,100012
CS MONANO I,1006082,100012
CS NGENGE,1006083,100012
CS NGENGE..,1006084,100012
CS SAINT KIZITO,1006085,100012
CS SANZA,1006086,100012
CS. BANDEKO,1006087,100012
CS. SASDEC,1006088,100012
CSTP DE LIMETE (SONG HWA),1006089,100012
ECOLE CHRETIENNE LA GLOIRE,1006090,100012
ECOLE LUSAY,1006091,100012
EP II ET III KINGABWA,1006092,100012
EP II ET V MOMBELE,1006093,100012
EP III ET VII MOMBELE CUEBC,1006094,100012
EP III SAINT KIZITO,1006095,100012
EP LOWA ET EP MAWANGU,1006096,100012
EP MATONDO,1006097,100012
EP SAINT KIWANUKA,1006098,100012
EP VI KINGABWA ET INSTITUT DIANGIENDA,1006099,100012
EPA LIMETE ET ITC LIMETE,1006100,100012
ESMICOM,1006101,100012
GROUPE SCOLAIRE LA MAINTENANCE,1006102,100012
I T A MOMBELE,1006103,100012
I T C LOBIKO,1006104,100012
LE COMPLEXE SCOLAIRE LES GENIES DE NEPHI,1006105,100012
INST KINGABWA ET EP I KINGABWA,1006106,100012
INSTITUT DE LA RIVIERE,1006107,100012
INSTITUT LUMUMBA,1006108,100012
INSTITUT MAMAN MWILU,1006109,100012
INSTITUT MATONDO SAINT BERNARD,1006110,100012
INSTITUT NTEMO 1 ET EP 4 KINGABWA,1006111,100012
LYCEE CEDIDAC,1006112,100012
LYCEE DE LIMETE,1006113,100012
LYCEE MAMA DIANKEBA,1006114,100012
LA VALLEE BENIE,1006115,100012
LYCEE TECHNIQUE ET SCIENTIFIQUE DE LIMETE,1006116,100012
NOTRE DAME DE LA SAGESSE,1006117,100012
UNIVERSITE CARDINAL MALULA,1006119,100012
VILLAGE BONDEKO MWINDA MOPELA,1006120,100012
C.P.S. LINGWALA,1001051,100013
C.S.SHEIKH HAMDAN,1001052,100013
COMPLEXE SCOLAIRE LOLIKI,1001053,100013
CS MUSHIE,1001054,100013
GROUPE SCOLAIRE TUMBA II,1001055,100013
INST. D ISANGI,1001056,100013
INST. MASALA,1001057,100013
INSTITUT BUKAMA,1001058,100013
REVEREND KIM 1,1001059,100013
UNIVERSITE REVEREND KIM2,1001060,100013
C.S ELIKYA NA NKOLO,1008021,100014
COLLEGE EL BETHEL,1008022,100014
C.S MUSAMPI BONDOYI,1008023,100014
CENTRE DE SANTE CHRISTENVIE,1008024,100014
COLLEGE BOSSA,1008025,100014
COLLEGE COEUR IMMATRICULE DE MARIE,1008026,100014
COMPLEXE  SCOLAIRE LE BON CHOIX,1008027,100014
COLLEGE LES VAINQUEURS,1008028,100014
COMPLEXE SCOLAIRE ALLIANCE2,1008029,100014
COLLEGE PROF AHUKA /SECONDAIRE,1008030,100014
COLLEGE PROF. AHUKA PRIMAIRE,1008031,100014
COLLEGE PUISSANCE DIVINE,1008032,100014
COLLEGE SAINTE CHRISTINE,1008033,100014
CS  MARIE MERE DU PERPETUEL SECOURS (EX GS  MON AVENIR),1008034,100014
CS  ROI DAVID,1008035,100014
