voting_site_id,district_id,province_id,voting_site_name,district,province
1002073,100005,1,COMPLEXE SCOLAIRE LA GRACE DIVINE,KALAMU,KINSHASA
1002072,100005,1,COMPLEXE SCOLAIRE LA COLOMBE,KALAMU,KINSHASA
1002071,100005,1,COMPLEXE SCOLAIRE KIDIANGO,KALAMU,KINSHASA
1002070,100005,1,COMPLEXE SCOLAIRE KAYALA2,KALAMU,KINSHASA
1002069,100005,1,COMPLEXE SCOLAIRE BWANYA,KALAMU,KINSHASA
1002068,100005,1,COMPLEXE SCOLAIRE BITAFU,KALAMU,KINSHASA
1002067,100005,1,COMPLEXE SCOLAIRE BISIMA,KALAMU,KINSHASA
1002098,100005,1,INST. PRESBYTERIEN DE YOLO-SUD,KALAMU,KINSHASA
1002097,100005,1,EPA 1 ET 2 MATONGE,KALAMU,KINSHASA
1002096,100005,1,EP2. ET E.P4. MATONGE,KALAMU,KINSHASA
1002095,100005,1,EP VI ET EP VII YOLO-SUD,KALAMU,KINSHASA
1002094,100005,1,EP III ET IV DE YOLO SUD,KALAMU,KINSHASA
1002093,100005,1,EP I ET II YOLO SUD,KALAMU,KINSHASA
1002092,100005,1,EP I ET II KAUKA,KALAMU,KINSHASA
1002091,100005,1,EP 7 ET EP 8 YOLO NORD,KALAMU,KINSHASA
1002090,100005,1,EP 3 ET 4 YOLO NORD,KALAMU,KINSHASA
1002089,100005,1,EP 1 ET 2 YOLO NORD,KALAMU,KINSHASA
1002088,100005,1,ECOLE PRIMAIRE KIZIAMINA,KALAMU,KINSHASA
1002087,100005,1,ECOLE MASAMBA,KALAMU,KINSHASA
1002086,100005,1,ECOLE KAYALA1,KALAMU,KINSHASA
1002085,100005,1,ECOLE DES SOPHISTES,KALAMU,KINSHASA
1002084,100005,1,E.P.A 1 ET 3/MATONGE,KALAMU,KINSHASA
1002083,100005,1,CS MONSEIGNEUR MOKE,KALAMU,KINSHASA
1002114,100006,1,COLLEGE CHRIST-ROI,KASA-VUBU,KINSHASA
1002113,100006,1,COLLEGE CARDINAL MALULA,KASA-VUBU,KINSHASA
1002112,100006,1,COLLEGE BELGO-CONGOLAIS,KASA-VUBU,KINSHASA
1002111,100006,1,CENTRE DE PROMOTION SOCIALE DE KASA-VUBU,KASA-VUBU,KINSHASA
1002110,100005,1,YMCA - YWCA,KALAMU,KINSHASA
1002109,100005,1,UNIV. SIMON KIMBANGU,KALAMU,KINSHASA
1002108,100005,1,LYCEE TECHNIQUE ET PROFESSIONNEL DE MATONGE ET INSTITUT SCIENTIFIQUE ET TECHNIQUE DE KALAMU,KALAMU,KINSHASA
1002107,100005,1,LYCEE TECHNIQUE DE KALAMU ET INSTITUT TECHNIQUE DES ARTS ET METIERS,KALAMU,KINSHASA
1002106,100005,1,LYCEE MATONGE ET LYCEE TECHNIQUE MATONGE,KALAMU,KINSHASA
1002105,100005,1,LYCEE BOYOKANI,KALAMU,KINSHASA
1002104,100005,1,INSTITUT SUP. DE STATISTIQUES DE KINSHASA,KALAMU,KINSHASA
1002103,100005,1,INSTITUT POUR SOURD-MUETS  DE KIN,KALAMU,KINSHASA
1002102,100005,1,INSTITUT MOANDA,KALAMU,KINSHASA
1002101,100005,1,INSTITUT KIMPWAZA,KALAMU,KINSHASA
1002100,100005,1,INSTITUT DE YOLO-SUD,KALAMU,KINSHASA
1002099,100005,1,INSTITUT BAKANJA,KALAMU,KINSHASA
1002130,100006,1,COMPLEXE SCOLAIRE TABITHA,KASA-VUBU,KINSHASA
1002129,100006,1,COMPLEXE SCOLAIRE ROVATU-ROVA,KASA-VUBU,KINSHASA
1002128,100006,1,COMPLEXE SCOLAIRE PROVIDENCE DIVINE,KASA-VUBU,KINSHASA
1002127,100006,1,EP1 ET EP2,KASA-VUBU,KINSHASA
1002126,100006,1,COMPLEXE SCOLAIRE MAMAN DELE,KASA-VUBU,KINSHASA
1002125,100006,1,COMPLEXE SCOLAIRE LA ROSETTE,KASA-VUBU,KINSHASA
1002124,100006,1,COMPLEXE SCOLAIRE LA RECONNAISSANCE,KASA-VUBU,KINSHASA
1002123,100006,1,COMPLEXE SCOLAIRE LA FLEURETTE,KASA-VUBU,KINSHASA
1002122,100006,1,COMPLEXE SCOLAIRE KANDA,KASA-VUBU,KINSHASA
1002121,100006,1,COMPLEXE SCOLAIRE GALILEE,KASA-VUBU,KINSHASA
1002120,100006,1,COMPLEXE SCOLAIRE ESPERANCE,KASA-VUBU,KINSHASA
1002119,100006,1,COMPLEXE SCOLAIRE ABBE-PIERRE,KASA-VUBU,KINSHASA
1002118,100006,1,COLLEGE SAINT GABRIEL,KASA-VUBU,KINSHASA
1002117,100006,1,COLLEGE LES ERUDITS,KASA-VUBU,KINSHASA
1002116,100006,1,COLLEGE ERUDISSIMO,KASA-VUBU,KINSHASA
1002115,100006,1,COLLEGE EDEN,KASA-VUBU,KINSHASA
1002146,100006,1,INSTITUT TECHNIQUE LUMBAMA,KASA-VUBU,KINSHASA
1002145,100006,1,INSTITUT TECHNIQUE DIYALANDA,KASA-VUBU,KINSHASA
1002144,100006,1,INSTITUT SCIENTIFIQUE DE KASA-VUBU,KASA-VUBU,KINSHASA
1002143,100006,1,"INSTITUT SAINT LOUIS, EP1 SAINT LOUIS  ET EP2 SAINT LOUIS",KASA-VUBU,KINSHASA
1002142,100006,1,INSTITUT LISALA,KASA-VUBU,KINSHASA
1002141,100006,1,"INSTITUT 2 KIMBUTA, EPA 1 KIMBUTA, ET EPA 2 KIMBUTA",KASA-VUBU,KINSHASA
1002140,100006,1,INST. DE LODJA,KASA-VUBU,KINSHASA
1002139,100006,1,GROUPE SCOLAIRE LES VIGNERONS,KASA-VUBU,KINSHASA
1002138,100006,1,EP II ASSOSSA,KASA-VUBU,KINSHASA
1002137,100006,1,EP A KISOLOKELE ET INSTITUT CHARLES KISOLOKELE,KASA-VUBU,KINSHASA
1002136,100006,1,EP 5 LISALA ET EP A MOTEMA MPIKO,KASA-VUBU,KINSHASA
1002135,100006,1,EP 4 ET 7 LISALA,KASA-VUBU,KINSHASA
1002134,100006,1,EP 1 ET 2 ONL,KASA-VUBU,KINSHASA
1002133,100006,1,EP 1 ET 2 LISALA,KASA-VUBU,KINSHASA
1002132,100006,1,ECOLE MARIE REINE DES ANGES,KASA-VUBU,KINSHASA
1002131,100006,1,CS LEMBO,KASA-VUBU,KINSHASA
1011010,100007,1,COL SOURCE DE VIE,KIMBANSEKE,KINSHASA
1011009,100007,1,COL PATY MUBENGA,KIMBANSEKE,KINSHASA
1011008,100007,1,COL DE L AMITIE,KIMBANSEKE,KINSHASA
1011007,100007,1,CENTRE DE FORMATION PROFESSIONNELLE DINAYAME,KIMBANSEKE,KINSHASA
1011006,100007,1,C.S. BEL ESPOIR,KIMBANSEKE,KINSHASA
1011005,100007,1,C.S MAPASA 1,KIMBANSEKE,KINSHASA
1011004,100007,1,C.S MAKONDA,KIMBANSEKE,KINSHASA
1011003,100007,1,C.S EUNICE MPUTU,KIMBANSEKE,KINSHASA
1011002,100007,1,C.S BEL ESPOIR,KIMBANSEKE,KINSHASA
1011001,100007,1,C. TONDISA EBALE,KIMBANSEKE,KINSHASA
1002152,100006,1,LYCEE TECHNIQUE LES MESSAGERES,KASA-VUBU,KINSHASA
1002151,100006,1,LYCEE TECHN. ET PROFESSIONNELLE,KASA-VUBU,KINSHASA
1002150,100006,1,LYCEE MADAME DE SEVIGNE,KASA-VUBU,KINSHASA
1002149,100006,1,LYCEE II ET III KASA-VUBU,KASA-VUBU,KINSHASA
1002148,100006,1,ECOLE MATERNELLE 1 & 2 LISALA,KASA-VUBU,KINSHASA
1002147,100006,1,ITC VICTOIRE ET ISP VICTOIRE,KASA-VUBU,KINSHASA
1011026,100007,1,COLLEGE SAINT ALPHONSE,KIMBANSEKE,KINSHASA
1011025,100007,1,COLLEGE ROYAL,KIMBANSEKE,KINSHASA
1011024,100007,1,COLLEGE PERE MAMS,KIMBANSEKE,KINSHASA
1011023,100007,1,COLLEGE PERE HENOC,KIMBANSEKE,KINSHASA
1011022,100007,1,CENTRE AYMER,KIMBANSEKE,KINSHASA
1011021,100007,1,COLLEGE PERE CHARLES,KIMBANSEKE,KINSHASA
1011020,100007,1,COLLEGE PATMOS DIBAKANGA,KIMBANSEKE,KINSHASA
1011019,100007,1,COLLEGE NZO KAYALA,KIMBANSEKE,KINSHASA
1011018,100007,1,COLLEGE METEO,KIMBANSEKE,KINSHASA
1011017,100007,1,EP MBANDIKO,KIMBANSEKE,KINSHASA
1011016,100007,1,COLLEGE LES VAINQUEURS,KIMBANSEKE,KINSHASA
1011015,100007,1,COLLEGE LE SENEVE,KIMBANSEKE,KINSHASA
1011014,100007,1,COLLEGE KWAYUNG,KIMBANSEKE,KINSHASA
1011013,100007,1,COLLEGE KINGUDI,KIMBANSEKE,KINSHASA
1011012,100007,1,COLLEGE DE MIKONDO,KIMBANSEKE,KINSHASA
1011011,100007,1,COLLEGE BETHANIE 1,KIMBANSEKE,KINSHASA
1011042,100007,1,CS BOLINGO,KIMBANSEKE,KINSHASA
1011041,100007,1,CS AKU,KIMBANSEKE,KINSHASA
1011040,100007,1,COMPLEXE SCOLAIRE KIMBONZA,KIMBANSEKE,KINSHASA
1011039,100007,1,COMPLEXE SCOLAIRE DIBWA DIA DITUMBA,KIMBANSEKE,KINSHASA
1011038,100007,1,COLLEGE SAINTE EXUPERY,KIMBANSEKE,KINSHASA
1011037,100007,1,COLLEGE STE MARIE AUXILIATRICE,KIMBANSEKE,KINSHASA
1011036,100007,1,COLLEGE ST PLACIDE,KIMBANSEKE,KINSHASA
1011035,100007,1,"COLLEGE ST JOSEPH,MUKASA",KIMBANSEKE,KINSHASA
1011034,100007,1,COLLEGE ST FREDERIC,KIMBANSEKE,KINSHASA
1011033,100007,1,COLLEGE CHRIST ROI,KIMBANSEKE,KINSHASA
1011032,100007,1,LA CRUCHE,KIMBANSEKE,KINSHASA
1011031,100007,1,COLLEGE SAMUEL MASAMBUKIDI,KIMBANSEKE,KINSHASA
1011030,100007,1,COLLEGE SAINTE MARIE,KIMBANSEKE,KINSHASA
1011029,100007,1,COLLEGE SAINTE CROIX,KIMBANSEKE,KINSHASA
1011028,100007,1,COLLEGE SAINT OSCAR,KIMBANSEKE,KINSHASA
1011027,100007,1,COLLEGE SAINT JOSEPH/NGWANZA,KIMBANSEKE,KINSHASA
1011058,100007,1,CS MA VIE,KIMBANSEKE,KINSHASA
1011057,100007,1,CS LUWIZAMO,KIMBANSEKE,KINSHASA
1011056,100007,1,CS LUMIERE,KIMBANSEKE,KINSHASA
1011055,100007,1,COLLEGE BISHOP ANTHO KIMBELO,KIMBANSEKE,KINSHASA
1011054,100007,1,COLLEGE LUVEVO,KIMBANSEKE,KINSHASA
1011053,100007,1,COLLEGE SAINT MARTIN,KIMBANSEKE,KINSHASA
1011052,100007,1,CS LES COMPAGNIONS DU CHRIST,KIMBANSEKE,KINSHASA
1011051,100007,1,G.S MAVUZI,KIMBANSEKE,KINSHASA
1011050,100007,1,CS LALU,KIMBANSEKE,KINSHASA
1011049,100007,1,CS LA TULIPE,KIMBANSEKE,KINSHASA
1011048,100007,1,CS KIMBANGUISTE/ CECOMAF,KIMBANSEKE,KINSHASA
1011047,100007,1,CS KAYILA,KIMBANSEKE,KINSHASA
1011046,100007,1,CS EDM,KIMBANSEKE,KINSHASA
1011045,100007,1,CS DIEU MERCI,KIMBANSEKE,KINSHASA
1011044,100007,1,CS DIAKABANA,KIMBANSEKE,KINSHASA
1011043,100007,1,CS DE LA TSHANGU,KIMBANSEKE,KINSHASA
1011074,100007,1,CS SAINT JEAN BAPTISTE,KIMBANSEKE,KINSHASA
1011073,100007,1,CS SACRE COEUR,KIMBANSEKE,KINSHASA
1011072,100007,1,EP SAINT ELIE,KIMBANSEKE,KINSHASA
1011071,100007,1,CS NSANGA,KIMBANSEKE,KINSHASA
1011070,100007,1,CS NOUVELLE ALLIANCE,KIMBANSEKE,KINSHASA
1011069,100007,1,CS NGANDU,KIMBANSEKE,KINSHASA
1011068,100007,1,CS MUNTUMOSI,KIMBANSEKE,KINSHASA
1011067,100007,1,CS MPATI,KIMBANSEKE,KINSHASA
1011066,100007,1,CS MONOKO,KIMBANSEKE,KINSHASA
1011065,100007,1,CS MINU,KIMBANSEKE,KINSHASA
1011064,100007,1,CS MERE THERESETITOS,KIMBANSEKE,KINSHASA
1011063,100007,1,CS MAVIOKELE,KIMBANSEKE,KINSHASA
1011062,100007,1,E.P MANSANGA,KIMBANSEKE,KINSHASA
1011061,100007,1,CS MANI LUBAMBA,KIMBANSEKE,KINSHASA
1011060,100007,1,CS MAMAN SOLA,KIMBANSEKE,KINSHASA
1011059,100007,1,CS MAMA NDANDA,KIMBANSEKE,KINSHASA
1011090,100007,1,E.P. LUBIKULU,KIMBANSEKE,KINSHASA
1011089,100007,1,E.P V ET VI KIMBASEKE,KIMBANSEKE,KINSHASA
1011088,100007,1,E.P MVUNDU,KIMBANSEKE,KINSHASA
1011087,100007,1,E.P MOLOKAI,KIMBANSEKE,KINSHASA
1011086,100007,1,E.P LA LOUANGE,KIMBANSEKE,KINSHASA
1011085,100007,1,E.P KITAMBALA,KIMBANSEKE,KINSHASA
1011084,100007,1,E.P BUANGA,KIMBANSEKE,KINSHASA
1011083,100007,1,E.P 5 KINGASANI,KIMBANSEKE,KINSHASA
1011082,100007,1,CSC BALONGI,KIMBANSEKE,KINSHASA
1011081,100007,1,CS. MAMASA,KIMBANSEKE,KINSHASA
1011080,100007,1,COMPLEX SCOLAIRE MWANDA,KIMBANSEKE,KINSHASA
1011079,100007,1,CS VICTORIA,KIMBANSEKE,KINSHASA
1011078,100007,1,CS TUSAKANA,KIMBANSEKE,KINSHASA
1011077,100007,1,COLLEGE LES AFFRANCHIS,KIMBANSEKE,KINSHASA
1011076,100007,1,CS TANGU SOLEIL,KIMBANSEKE,KINSHASA
1011075,100007,1,CS SIMBA,KIMBANSEKE,KINSHASA
1011106,100007,1,EP 7 KIKIMI,KIMBANSEKE,KINSHASA
1011105,100007,1,EP 2 SAINT MBAGA,KIMBANSEKE,KINSHASA
1011104,100007,1,EP 2 MFUMU NKETO,KIMBANSEKE,KINSHASA
1011103,100007,1,EP 2 KINGASANI,KIMBANSEKE,KINSHASA
1011102,100007,1,EP 1 ST MBAGA,KIMBANSEKE,KINSHASA
1011101,100007,1,EP 1 MAZONGO,KIMBANSEKE,KINSHASA
1011100,100007,1,EP 1 KIKIMI,KIMBANSEKE,KINSHASA
1011099,100007,1,EP  C. B. F .C,KIMBANSEKE,KINSHASA
1011098,100007,1,ECOLE NOTRE DAME DE GRACE ELONGA,KIMBANSEKE,KINSHASA
1011097,100007,1,ECOLE MATERNELLE PERE COUDRIN,KIMBANSEKE,KINSHASA
1011096,100007,1,ECOLE FUTURE MAMVULULU,KIMBANSEKE,KINSHASA
1011095,100007,1,ECOLE BIKAMUISI,KIMBANSEKE,KINSHASA
1011094,100007,1,ECOLE BAKI,KIMBANSEKE,KINSHASA
1011093,100007,1,E.P. NGWANZA,KIMBANSEKE,KINSHASA
1011092,100007,1,E.P. MAKUMBU,KIMBANSEKE,KINSHASA
1011091,100007,1,E.P. LUKELO,KIMBANSEKE,KINSHASA
1011122,100007,1,EP IX KINGASANI,KIMBANSEKE,KINSHASA
1011121,100007,1,EP IV KINGASANI,KIMBANSEKE,KINSHASA
1011120,100007,1,EP IV BIYELA,KIMBANSEKE,KINSHASA
1011119,100007,1,EP II KIKIMI,KIMBANSEKE,KINSHASA
1011118,100007,1,EP I BIYELA,KIMBANSEKE,KINSHASA
1011117,100007,1,EP FIMPA,KIMBANSEKE,KINSHASA
1011116,100007,1,EP FABIANO,KIMBANSEKE,KINSHASA
1011115,100007,1,EP C.B.C.O,KIMBANSEKE,KINSHASA
1011114,100007,1,EP BOYAMBI,KIMBANSEKE,KINSHASA
1011113,100007,1,EP BONO,KIMBANSEKE,KINSHASA
1011112,100007,1,EP BONDEKO,KIMBANSEKE,KINSHASA
1011111,100007,1,EP BISENGO  MWAMBE,KIMBANSEKE,KINSHASA
1011110,100007,1,LYCEE MARE MARIE AMPEM,KIMBANSEKE,KINSHASA
1011109,100007,1,EP A 1 MOKALI,KIMBANSEKE,KINSHASA
1011108,100007,1,EP 9 KIKIMI,KIMBANSEKE,KINSHASA
1011107,100007,1,EP 8 KIKIMI,KIMBANSEKE,KINSHASA
1011139,100007,1,EP SADISANA,KIMBANSEKE,KINSHASA
1011138,100007,1,EP RAMAZANI,KIMBANSEKE,KINSHASA
1011137,100007,1,EP NZOLA,KIMBANSEKE,KINSHASA
1011136,100007,1,EP MUTKONG,KIMBANSEKE,KINSHASA
1011135,100007,1,EP MUSENGE,KIMBANSEKE,KINSHASA
1011134,100007,1,EP MONDO,KIMBANSEKE,KINSHASA
1011133,100007,1,EP MOLIAMBO,KIMBANSEKE,KINSHASA
1011132,100007,1,EP MGR MOSENGO,KIMBANSEKE,KINSHASA
1011131,100007,1,COLLEGE SAINT ALBERT,KIMBANSEKE,KINSHASA
1011130,100007,1,EP MAYA,KIMBANSEKE,KINSHASA
1011129,100007,1,EP MAMA WA BOSAWA,KIMBANSEKE,KINSHASA
1011127,100007,1,EP LUIZI,KIMBANSEKE,KINSHASA
1011126,100007,1,CS. LES EXPERTS,KIMBANSEKE,KINSHASA
1011125,100007,1,EP KOLI ELOMBE,KIMBANSEKE,KINSHASA
1011124,100007,1,EP KIKIMI/CS MAYUMA,KIMBANSEKE,KINSHASA
1011123,100007,1,EP KAPITA,KIMBANSEKE,KINSHASA
1011155,100007,1,FONDATION ESENGO,KIMBANSEKE,KINSHASA
1011154,100007,1,EPP KIKIMI/CPK,KIMBANSEKE,KINSHASA
1011153,100007,1,EP8 KINGASANI,KIMBANSEKE,KINSHASA
1011152,100007,1,EP7 TSHUENGE,KIMBANSEKE,KINSHASA
1011151,100007,1,EP1ET 2 KIMBANSEKE,KIMBANSEKE,KINSHASA
1011150,100007,1,EP.6 BIYELA,KIMBANSEKE,KINSHASA
1011149,100007,1,EP.5 BIYELA,KIMBANSEKE,KINSHASA
1011148,100007,1,EP. NDONA,KIMBANSEKE,KINSHASA
1011147,100007,1,EP. MAMADOU,KIMBANSEKE,KINSHASA
1011146,100007,1,EP12 KINGASANI,KIMBANSEKE,KINSHASA
1011145,100007,1,EP. BAMBOMA,KIMBANSEKE,KINSHASA
1011144,100007,1,EP VI KINGASANI,KIMBANSEKE,KINSHASA
1011143,100007,1,EP VI KIKIMI,KIMBANSEKE,KINSHASA
1011142,100007,1,EP V KIKIMI,KIMBANSEKE,KINSHASA
1011141,100007,1,EP STE AGNES BONSOMI,KIMBANSEKE,KINSHASA
1011140,100007,1,EP SIRA,KIMBANSEKE,KINSHASA
1011171,100007,1,INST. LINGOMO,KIMBANSEKE,KINSHASA
1011170,100007,1,INST. KIHETA,KIMBANSEKE,KINSHASA
1011169,100007,1,INST. IKUMA,KIMBANSEKE,KINSHASA
1011168,100007,1,INST. BOSEMBO,KIMBANSEKE,KINSHASA
1011167,100007,1,INST. BISENGO MUAMBE,KIMBANSEKE,KINSHASA
1011166,100007,1,INST YULAMA,KIMBANSEKE,KINSHASA
1011165,100007,1,INST SAINT LOUIS,KIMBANSEKE,KINSHASA
1011164,100007,1,INST MAYELE MASIKA,KIMBANSEKE,KINSHASA
1011163,100007,1,INST BUPIE,KIMBANSEKE,KINSHASA
1011162,100007,1,I.T.M TSHANGU,KIMBANSEKE,KINSHASA
1011161,100007,1,I.T.M APAMSCO,KIMBANSEKE,KINSHASA
1011160,100007,1,I.T.A.V SALONGO,KIMBANSEKE,KINSHASA
1011159,100007,1,GS MAKAKALA,KIMBANSEKE,KINSHASA
1011158,100007,1,GS BOTANGI,KIMBANSEKE,KINSHASA
1011157,100007,1,C.S PATY MUBENGA,KIMBANSEKE,KINSHASA
1011156,100007,1,COLLEGE TECHNIQUE MONSEIGNEUR TATY,KIMBANSEKE,KINSHASA
1011187,100007,1,ITC MOKALI,KIMBANSEKE,KINSHASA
1011186,100007,1,INSTITUT VILUKA,KIMBANSEKE,KINSHASA
1011185,100007,1,INSTITUT PRESBYTERIEN DE KINGASANI,KIMBANSEKE,KINSHASA
1011184,100007,1,INSTITUT MAKONDA,KIMBANSEKE,KINSHASA
1011183,100007,1,INSTITUT LUTANDILA,KIMBANSEKE,KINSHASA
1011182,100007,1,INSTITUT KIKAMA,KIMBANSEKE,KINSHASA
1011181,100007,1,INSTITUT ITUMAF,KIMBANSEKE,KINSHASA
1011180,100007,1,INSTITUT BOMPESE,KIMBANSEKE,KINSHASA
1011179,100007,1,INST2. BILENGE,KIMBANSEKE,KINSHASA
1011178,100007,1,INST. ZOLA EMILE,KIMBANSEKE,KINSHASA
1011177,100007,1,INST. YANDA MAYEMBA,KIMBANSEKE,KINSHASA
1011176,100007,1,INST. TECH. ET PROF SIMON KIMBANGU,KIMBANSEKE,KINSHASA
1011175,100007,1,INST. STE MONIQUE,KIMBANSEKE,KINSHASA
1011174,100007,1,INST. MIKONDO II,KIMBANSEKE,KINSHASA
1011173,100007,1,INST. MALAVU,KIMBANSEKE,KINSHASA
1011172,100007,1,INST. MALAKO,KIMBANSEKE,KINSHASA
1001036,100008,1,INSTITUT WANGATA E.P. I ET II,KINSHASA,KINSHASA
1001035,100008,1,"""""INSTITUT TECHNIQUE D""""""""ITAGA""""",KINSHASA,KINSHASA
1001034,100008,1,INSTITUT DU TRENTE JUIN,KINSHASA,KINSHASA
1001033,100008,1,EP I I KINSHASA,KINSHASA,KINSHASA
1001032,100008,1,EP 3 ET 6 KINSHASA,KINSHASA,KINSHASA
1001031,100008,1,CS. TSHITEKU,KINSHASA,KINSHASA
1001030,100008,1,COLLEGE SAINT PIERRE (I.T.E.P),KINSHASA,KINSHASA
1001029,100008,1,COLLEGE PACIFIQUE,KINSHASA,KINSHASA
1001028,100008,1,COLLEGE BIMWALA,KINSHASA,KINSHASA
1001027,100008,1,C.S. KASAKA,KINSHASA,KINSHASA
